bug_description,dev_type
Forced dispatch of notification NotifG_N002 employability survey. Force the sending of the following employability survey notifications (seen in the technical meeting):,Backend
"DATAFIX - Employability Survey - Reminder + phoning
RM2C CLASSE 2022 // EE 2 à 6 mois 
Prio 1 // Reminder notifications + phoning surveys
1. The same form was used on classes 2022, BBIM 22, BRDV 22, ISMAC 22 for the EE 2 at 6 months. 
The first notification went out correctly on all classes. However, the dunning notifications were sent correctly on BBIM 22, BRDV 22, and ISMAC 22 classes but not on CLASS 22.
2. The phoning notification was not sent on any of the classes",Backend
"Creation of task deposit doc expected for ""Agency Recommendation"" block 3 of CPEB 2023 for student Nawel SNADJI (ISAL PARIS). Please create the task doc deposit expected for ""Agency recommendation"" block3 of CPEB 2023 for student",Backend
"No task to validate the correction of the written BG and no ""validate correction"" button on the grid. this is for student in RDC 2023, school CFA La Seyne Sur Mer, task BG ECRIT, student Rudy Dolla",Backend
"Student received notification ESNFStudRemind_N1 with wrong link, it linked to the previous ES that been done in July, need to check notif on the 23rd of March for student. Ex: M. Thomas SIMON, it happens when sending manual reminder, it sends the first one, not the second.",Backend
Task for Validate Test is mark as done while the mark entry is not done,Backend
"Delete task doc expected for ""Agency Recommendation"" block 3 of CPEB 2023",Backend
"There is no Task Generated after publish test ""Contrôle de connaissance"" from Bloc 1
Also the same for test ""Contrôle de connaissance"" from class 2023 TMK, it not yet published but there is no task generated on the preview",Backend
"RDC 2023 / FORMAPLUS 97 / WRITTEN BG / No task to validate the correction (referent: Cynthia POLOR) No task to validate the correction of the written BG and no ""validate correction"" button on the grid. when check in the rncp title for the school FORMAPLUS 97 and check for subject ECRIT, there’s only one task for subject ECRIT",Backend
create task dépot recommandation agence for 3 students of the STUDENCY school (block3 CPEB2023),Backend
"Two identical tasks for one learner - TCHOUGA/STUDENCY/CPEB2023, Please delete one of the two",Backend
"Need to remove ""Complete Admission Form"" task for LUCAS Bastien - Pigier Nimes MA 4BLOCS because his admission form already validated on 01 December 2021 - 12:19 (Paris Time) but on 22/03 that task to complete admission form has created again, also the student is transfer to new school but same rncp title, need to check why the student receive new task ""Complete admission form""",Backend
The academic director receives notification and task to complete the quality file again even though they already did it in Quality Form. ,Backend
The academic director receives notification and task to complete the quality file again even though they already did it in Quality Form. ,Backend
Corrector M. Le Petit did not receive notification CORRECTOR_N1 for test data Sully Formation - CDRH 2023 - Grille SIRH Ecrit Collectif.,Backend
"There is a typo in static text, not all users with wrong email status are included in the notification, and the reason for the wrong email is not displayed on the error message in WrgMail_N2A. ",Backend
"User Pacalle Muller received notification STUD_N11 containing 8 students, but there are 13 task Validate Admission form. Some task Validate admission form is not marked as done after the validator performs the task. Another validator who received notif STUD_N11 also needs to be checked.",Backend
User still receives notification Prob_N10 in mailbox tab CC despite recipient in CC being deactivated.,Backend
Remove duplicate columns in Notif history table for title and school in STUD_N4. ,Backend
Sort student list in table by last name in STUD_N4. ,Backend
Remove duplicate task for upload document expected for test EDC Ecrit Group E. ,Backend
Some correctors did not receive notification CORRECTOR_N1. ,Backend
Corrector M. Le Petit did not receive notification CORRECTOR_N1. ,Backend
Transfer tasks from Aubel Elsa to Clamaron Séverine to prevent deletion of Aubel Elsa from platform.,Backend
Transfer responsibility of academic director to transform all tasks related to corrector. Example case: Aubel Elsa tasks not fully transferred to Clamaron Séverine.,Backend
Customer needs help removing problematic tasks and changing activation date for MA - 6 Blocs class 2024 and 2024 Pigier.,Backend
User received reminder despite submitting form,Backend
"User received task to complete quality form, but on the notification TASK_N4, it is display task to complete admission form",Backend
"TASK_N4, some of the task has duplicated task listed in the notification",Backend
Task_N7: We need to update the full date format on TASK_N7 to follow the guideline for date,Backend
"Job Descripstion for Student  Mrs Coline RAIMBAUD CDRH class 2023.
The Jobdesc status already validated without signatory of by academic director and the task to validate the Jobdesc still TO DO
Need to open the task Complete Jobdesc so student can modify and complete it",Backend
"Deactivated and reactivated, some issue found:
- The task 'Input the company and mentor and activate the contract' is not displayed on the pending task after the stduent reactivated 
- The notification when Deactivate and reactivate the student is not sent to ADMTC Dir (Need confirmation for the notification)",Backend
"WrgMail_N2B
- No FR localization for the notification
- Name format in the ""Name column"" is not respecting the notification document
- Error message column displaying wrong value. it displaying the email of the user, instead of displaying the reason of the wrong email
- Not all user/student who has status wrong email is included in the notif. I only receive 2 notif WrgMail_N2B containing 1 user and 2 student, meanwhile I check there are around 20 user who has status incorrect email, and 4 student with incorrect email",Backend
Deletion of tasks not carried out on 2022 and earlier titles so the weekly reminders is still sent.,Backend
User Mme Stéphanie PEYSSON received 2 notification WrgMail_N2B,Backend
"Cert Rule for Preparration Centre:
If the Title - Class Coneected to 3 different school and academic director, When One oif the academic director Accept the Cert Rule, the Document for another school is generated also",Backend
"On the notification PUBLISHED_TEST_N1 there is typo, it should be Published test but on notification it's published test",Backend
"Some task already completed and validated on June 2022:
- Rapport d'Audit et recommandations en choix technologiques
- Oral Audit et recommandations en choix technologiques
- CC UE1-2 - Innovation et technologies de l'information et de la communication
- CC UE1-3 - Audit et innovation en choix technologiques dans les entreprises
- CC UE3-2- Management opérationnel
- Cas pratique - Le « K »
But the mark is empty and task is reopened since 28/11/2022",Backend
In the parameter the date for Job desc is set up at 31/10. academic director of SACRE COEUR activate contract for all his students but the task to send job desc is not generated,Backend
"WrgMail_N2B is WRONG: 
1. The email display in the Email Address table should displaying the email that error
2. This static text must be ""C'est Marc"" and not ""Ceci est Marc""
3. WrgMail_N2B must be sent when several emails have problems NOT 1",Backend
"GO Retake CPEB 2021
Session for student Alexandre LE MOUELLIC already published but no notification TASK_N1 that sent even the task to upload CV and passport already generated

note: issue laso happens on Maëlle GARNIER (CPC 2021)",Backend
Remove one of duplicate task for Corentin ISSARTEL to Input company Mentor and Activate Contract relate to student  Amina SARR,Backend
"when transfer student to title/class that already have tasks, the task is generated double and the task for academic director that are already done are still generated",Backend
6 student transferred from RM2C to MA2024 from Cesamesup school did not receive notif or tasks for admission,Backend
The task is not regenrated after I change the course of student from exempt become full title prepared,Backend
STUD_N8: There are several student that receive notification in double and some of it even receive 3 times,Backend
"Admisison Form Student Mr Ugo NAVARRO (MA 6 Blocs - 2024)
The Admsion status for this student already Active but the Task ADMTC Dir to validate Admsiion form still displaye  on Pending Task table",Backend
On notification History table for Stud_N11 I see the data displayed is different than in User mailbox and thunderbird,Backend
Stud_N11 is not sent on the production even when there is condition that met to sent the notification,Backend
Remove the all task academic director to validate test from Pending task table on title CDRH class 2022,Backend
"The task for academic director to validate test is reopen even the all test already validated. 
Need to remove all the validata test task from pemding task table",Backend
"Need to mention: 
Ref Notif + FormBuilder Name
Full Name + School Name + Title + Class
on the bottom part of the notif in 2 lines",Backend
"Currently the task for academic director to ""Input the company/mentor and activate the contract"" will generated after Student already Set password.
1/ Now for title that have Admission Document in paramter change the time to generate task ""Input the company/mentor and activate the contract"" after the Student complete the Admission form
2/ For title that dont have Admsiion form, task  ""Input the company/mentor and activate the contract"" will generated after Student set password (keep the old flow)",Backend
"Task to add Company/Mentor to Student
This task is actually activated 14 days BEFORE the date of activation of Job Description in Title parameters
=> 14 days before a check is done is the student already has a company/mentor if NOT then activate the Task if YES do not activate the task",Backend
TASK N7: It's reminding for task of 2022 but it's class 2023 and there is no task pending in this class. Title: RM2C - IFC BRDV 2023,Backend
"student change email scenario: After the academic director change the student email, the notif STUD_N1 and custom notif relates to Registration process still not sent to the student's new email",Backend
The student display in the notification STUD_N11 isn't match with the student display in the Task menu.,Backend
Task generated for CDRH but apparently they were already done,Backend
Need to fix cron job and validation for the cronjob for task generated for student that doesnt  have company,Backend
Due date on task_N4 is displayed -1,Backend
Task_N4 is not sent on the production even when there is condition that met to sent the notification,Backend
"prob_n4: the issues are not sent to the certifier as they should be. All students have filled in their problematics, and they have been validated by the Acad. Dpt. The problematics were not sent this morning as they should have been.",Backend
"There is 2 tasks upload doc not generated for 2 students on title CDRH - Class 2023 REP 0922
for test Bloc 2 Plan d'actions GPEC - Ecrit individuel",Backend
the Notif to enter new password after change email ChgMail_N1 is not sent. it happens to any student also,Backend
"There is 1 student retake in this block, but there are 2 task generated for the mark entry",Backend
"When I send Registration email to the user, when check on the user mailbox and thunderbird, I see the registration email is not sent",Backend
The Cronjob ESurvey_N7 is not triggered on the Prod,Backend
recieived the notif JOBDESC_N11 on 25/10/2022 even the Date of Activ ation of JOBDESC on parameters is on 31/10/2022.,Backend
"Clcik on the task to complete Employability Survey from the student card - tab task, it display swal error",Backend
The task for the student to complete the Employability Survey is not generated,Backend
User validate 2 tasks but the tasks are still populated in pending tasks,Backend
